Text,Category
worldcom ex-boss launches defence lawyers defending former worldcom chief bernie ebbers against a battery of fraud charges have called a company whistleblower as their first witness. cynthia cooper  worldcom s ex-head of internal accounting  alerted directors to irregular accounting practices at the us telecoms giant in 2002.,business
german business confidence slides german business confidence fell in february knocking hopes of a speedy recovery in europe s largest economy. munich-based research institute ifo said that its confidence index fell to 95.5 in february from 97.5 in january  its first decline in three months.,business
bbc poll indicates economic gloom citizens in a majority of nations surveyed in a bbc world service poll believe the world economy is worsening. most respondents also said their national economy was getting worse.,business
lifestyle  governs mobile choice  faster  better or funkier hardware alone is not going to help phone firms sell more handsets  research suggests. instead  phone firms keen to get more out of their customers should not just be pushing the technology for its own sake.,tech
enron bosses in $168m payout eighteen former enron directors have agreed a $168m (£89m) settlement deal in a shareholder lawsuit over the collapse of the energy firm. leading plaintiff  the university of california  announced the news  adding that 10 of the former directors will pay $13m from their own pockets.,business
howard  truanted to play snooker  conservative leader michael howard has admitted he used to play truant to spend time with his school friends at a snooker hall. mr howard said his time at jack s snooker hall in llanelli in the 1950s had not done him  any lasting damage .,politics
wales silent on grand slam talk rhys williams says wales are still not thinking of winning the grand slam despite a third six nations win.   that s the last thing on our minds at the moment   said williams  a second- half replacement in saturday s 24-18 win over france in paris. we all realise how difficult a task it is to go up to scotland and beat them.,sport
french honour for director parker british film director sir alan parker has been made an officer in the order of arts and letters  one of france s highest cultural honours. sir alan received his decoration in paris on wednesday from french culture minister renaud donnedieu de vabres.,entertainment
car giant hit by mercedes slump a slump in profitability at luxury car maker mercedes has prompted a big drop in profits at parent daimlerchrysler. the german-us carmaker saw fourth quarter operating profits fall to 785m euros ($1bn) from 2.4bn euros in 2003.,business
fockers fuel festive film chart comedy meet the fockers topped the festive box office in north america  setting a new record for christmas day. the sequel took $44.7m (£23.2m) between 24 and 26 december  according to studio estimates.,entertainment
blair rejects iraq advice calls tony blair has rejected calls for the publication of advice on the legality of the iraq war amid growing calls for an investigation. the prime minister told his monthly press conference the matter had been dealt with by the attorney general.,politics
housewives lift channel 4 ratings the debut of us television hit desperate housewives has helped lift channel 4 s january audience share by 12% compared to last year. other successes such as celebrity big brother and the simpsons have enabled the broadcaster to surpass bbc2 for the first month since last july.,entertainment
uk coal plunges into deeper loss shares in uk coal have fallen after the mining group reported losses had deepened to £51.6m in 2004 from £1.2m. the uk s biggest coal producer blamed geological problems  industrial action and  operating flaws  at its deep mines for its worsening fortunes.,business
bp surges ahead on high oil price oil giant bp has announced a 26% rise in annual profits to $16.2bn (£8.7bn) on the back of record oil prices. last week  rival shell reported an annual profit of $17.5bn - a record profit for a uk-listed company.,business
ireland 21-19 argentina an injury-time dropped goal by ronan o gara stole victory for ireland from underneath the noses of argentina at lansdowne road on saturday. o gara kicked all of ireland s points  with two dropped goals and five penalties  to give the home side a 100% record in their autumn internationals.,sport
wenger signs new deal arsenal manager arsene wenger has signed a new contract to stay at the club until may 2008. wenger has ended speculation about his future by agreeing a long-term contract that takes him beyond the opening of arsenal s new stadium in two years.,sport
u2 s desire to be number one u2  who have won three prestigious grammy awards for their hit vertigo  are stubbornly clinging to their status as one of the biggest bands in the world. the most popular groups in the history of rock all have several things in common.,entertainment
hantuchova in dubai last eight daniela hantuchova moved into the quarter-finals of the dubai open  after beating elene likhotseva of russia 7-5 6-4  and now faces serena williams. australian open champion williams survived an early scare to beat russia s elena bovina 1-6 6-1 6-4.,sport
melzer shocks agassi in san jose second seed andre agassi suffered a comprehensive defeat by jurgen melzer in the quarter-finals of the sap open. agassi was often bamboozled by the austrian s drop shots in san jose  losing 6-3 6-1.,sport
moving mobile improves golf swing a mobile phone that recognises and responds to movements has been launched in japan. the motion-sensitive phone - officially titled the v603sh - was developed by sharp and launched by vodafone s japanese division.,tech
hewitt overcomes wobble in sydney lleyton hewitt gave himself the perfect preparation for next week s australian open with victory over ivo minar in the final of the sydney international. the defending champion brushed aside the czech qualifier 7-5 6-0.,sport
carry on star patsy rowlands dies actress patsy rowlands  known to millions for her roles in the carry on films  has died at the age of 71. rowlands starred in nine of the popular carry on films  alongside fellow regulars sid james  kenneth williams and barbara windsor.,entertainment
serena becomes world number two serena williams has moved up five places to second in the world rankings after her australian open win. williams won her first grand slam title since 2003 with victory over lindsay davenport  the world number one.,sport
ferguson urges henry punishment sir alex ferguson has called on the football association to punish arsenal s thierry henry for an incident involving gabriel heinze. ferguson believes henry deliberately caught heinze on the head with his knee during united s controversial win.,sport
