text,category,source,score,length
"A brunette, a blonde, and a redhead all worked in the same office with the same female boss. Every day, they noticed their boss left work early.  One day, the girls decided that when the boss left, they'd leave right behind her. After all, she never called in or came back to the office when she left early, so how was she to know?  The next day, they all three left the office right after the boss left. The brunette was thrilled to be home early. She did a little gardening and went to bed early.  The redhead was elated to be able to get in a quick workout at the health club before meeting her dinner date.  The blonde was happy, happy, happy to be home, but when she got to the bedroom she heard a muffled noise from inside. Slowly, quietly, she cracked open the door and was mortified to see her husband in bed with HER BOSS.  Ever so gently, she closed the door and crept out of her house. The next day at coffee break, the brunette and redhead decided they were leaving early again, and asked the blonde if she was coming with them.  ""NO WAY,"" she exclaimed, ""I almost got caught yesterday""",Office Jokes,stupidstuff,3.73,260
"Bill and Hillary Clinton went out to dinner and when the waiter came to take their order, he asked Bill how he wanted his steak, she replied, ""medium.""  Then the waiter said, ""how about your vegetable?"" Bill replied, ""Oh, she can order for herself.""",Political,stupidstuff,3.5,59
"The stockbroker's secretary answered his phone one morning. ""I'm sorry,"" she said, ""Mr. Bradford's on another line.""  ""This is Mr. Ingram's office,"" the caller said. ""We'd like to know if he's bullish or bearish right now.""  ""He's talking to his wife,"" the secretary replied. ""Right now I'd say he's sheepish.""",Business,stupidstuff,2.33,85
"A man sent his clothing out to the local laundry. When it came back there were still stains on his underwear. The next week he enclosed a note saying, ""Use more soap on underwear.""  This went on for several weeks, with the underwear returning stained, and the man sending the note, ""Use more soap on underwear.""  Finally the laundry came back with a note from the laundry man:  ""Use more paper on rear.""",Business,stupidstuff,3.86,91
"A foreman had ten very lazy men working for him. One day he decided to trick them into doing some work for a change.  ""I've got a really easy job today for the laziest one among you,"" he announced. ""Will the laziest man please put his hand up.""  Nine hands went up.  ""Why didn't you put your hand up?"" he asked the tenth man.  ""Too much trouble,"" came the reply.",Business,stupidstuff,3.0,95
"Dear Sir or Madam;  While working with Mr. Smith, I have always found him working studiously and sincerely at his table without idling or gossiping with colleagues in the office. He seldom wastes his time on useless things. Given a job, he always finishes the given assignment in time. He is always deeply engrossed in his official work, and can never be found chitchatting in the canteen. He has absolutely no vanity in spite of his high accomplishment and profound knowledge of his field. I think he can easily be classed as outstanding, and should on no account be dispensed with. I strongly feel that Mr. Smith should be pushed to accept promotion, and a proposal to administration be sent away as soon as possible.  Mr. Jones Director of Personnel  -----------------------------------------------------------------  A yellow post-it was stuck to the letter.  SMITH WAS PRESENT WHEN I WAS WRITING THE REPORT MAILED TO YOU TODAY. READ ONLY THE ALTERNATIVE LINES 1,3,5,7 AND SO ON FOR MY TRUE ASSESSMENT OF HIM.  JONES",Business,stupidstuff,1.75,228
"Two men are approaching each other on a sidewalk. Both are dragging their right foot as they walk. As they meet, one man looks at the other knowingly, points to his foot and says, ""Vietnam, 1969.""  The other points his thumb behind him and says, ""Dog crap, 20 feet back.""",Sports,stupidstuff,4.25,67
"If you had bought $1000 worth of Nortel stock one year ago, it would now be worth $49.  With Enron, you would have $16 of the original $1,000.  With WorldCom, you would have less than $5 left.  If you had bought $1,000 worth of beer one year ago, drank all the beer, then turned in the cans for the deposit, you would have $214.  Clearly, the best investment is to drink heavily and recycle.",Business,stupidstuff,3.0,106
"Tom had this problem of getting up late in the morning and was always late for work. His boss was mad at him and threatened to fire him if he didn't do something about it. So Tom went to his doctor who gave him a pill and told him to take it before he went to bed.  Tom slept well and in fact beat the alarm in the morning. He had a leisurely breakfast and drove cheerfully to work. ""Boss,"" he said, ""The pill actually worked!""  ""That's all fine"" said the boss. ""But where were you yesterday?""",Office Jokes,stupidstuff,3.0,120
"An african ambassador visited Russia and was entertained by his opposite number, the Russian ambassador. For three days, the African ambassador was wined, dined, and generally treated to the best hospitality that Russia had to offer.  On the last day of his visit, the Russian ambassador said, ""As your stay is coming to an end, it's time for you to play our traditional game, Russian roulette. One of the six chambers of this gun is loaded - you spin the cylinder, point the gun at your head, and pull the trigger.""  This phased the African slightly, but he was a proud man of a warrior people, and to show fear would be unthinkable. Both men took their guns, spun, and pulled the triggers.  Both chambers were empty, and both ambassadors breathed a sigh of relief.  The African ambassador was impressed with the couragous game, and thought hard about the subject before the Russian Ambassador was due to visit his country the next year.  When the visit came, the African ambassador treated the Russian with all hospitality, until the final day of his stay. Leading him to a private room in the palace, the African ambassador spoke, ""Now, time for you to sample our game, African roulette"". He then led the Russian into the room, the only occupants of which were six stunning and naked women.  The African ambassador said, ""These women are the most beautiful members of one of our tribes. Any one of them will give you a oral sex - take your pick"".  The Russian was not entirely averse to this idea, but he couldn't see the connection with Russian Roulette. He said, ""Well, ok, great, but where's the roulette part? Where's the danger?""  With a big grin on his face, the African ambassador answered:  ""One of them's a cannibal.""",Political,stupidstuff,5.0,381
